# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
-1.800364148237591083e-03;-4.184277672097837372e-04;-1.724820296398528463e-02;1.689025607337071506e+03;-2.683332785231803882e+03;5.056950218934177537e+05;5.168538364505308709e+04
-3.654931032346293331e-04;2.408203980489291140e-03;-6.929365812951873704e-02;1.539163671031646345e+03;-2.528692386209408141e+03;5.008296906784052844e+05;5.069540794214978814e+04
6.535841961134066999e-03;-1.792785933705645218e-03;2.586926866957308183e-02;-6.061453689768398363e+03;3.365812680805072887e+03;5.092566760857886984e+05;5.242365144749676983e+04
3.437824980655381901e-03;-2.409159128264193230e-03;8.621856671356998431e-03;-2.835073699374400348e+03;4.663799437777622188e+03;5.078781845753294765e+05;5.213658539068986283e+04
3.364293835810998074e-03;9.228870302828206867e-04;8.883901525170420643e-03;-3.588456017388702548e+03;-1.316594559217841379e+03;5.079037891474926146e+05;5.213877425640406000e+04
-1.874372073236612647e-04;7.408668104082518626e-04;2.820077787806033257e-02;6.454280134478869968e+02;-2.936484149832491539e+02;5.093677857491210452e+05;5.243691182866296731e+04
-6.990265874034056999e-04;2.982664697208385531e-03;2.154348998707216259e-03;6.725170362570268878e+01;-3.943717717055893900e+03;5.074767397692272789e+05;5.205133011254776648e+04
2.093665471739191743e-03;1.311560135550726702e-03;3.546230975198107205e-02;-1.335917172950206577e+03;-1.154462488105301418e+03;5.101944138054621289e+05;5.260777262540488300e+04
-1.025272865844040378e-03;2.008344934271279279e-03;3.774476196348571649e-02;-2.974749029359071528e+02;-4.221937414136264124e+03;5.108463486797240912e+05;5.274529335684800026e+04
-2.100625826001127801e-03;5.381605874666632984e-04;-1.122477925099786555e-02;2.314339543568046338e+03;3.036159482627243733e+02;5.063335944178630016e+05;5.181506298563026212e+04
-2.649077299955264735e-03;3.039735234614637620e-03;1.790512102294905886e-02;2.278815494433965796e+03;-3.112453443234684528e+03;5.086877867435713415e+05;5.229990618819736846e+04
-2.970308944442134804e-03;-1.106715416351300744e-03;5.163022490803456654e-02;2.050056642042277417e+03;1.256196637358910948e+03;5.120334527202747995e+05;5.298824820343032479e+04
-1.896110787051800365e-03;-1.752529422757917064e-03;1.005843351526935631e-01;1.462635963767227850e+03;3.344358538049144045e+03;5.159975072231435333e+05;5.381337801125988335e+04
-1.263170793077055291e-03;-4.975521287467205966e-05;1.485764256753309464e-03;1.965668628488817376e+03;3.360802991204515365e+03;5.073049937677124981e+05;5.201602605100892106e+04
2.025292968175411087e-03;-1.536462339504200301e-03;9.302677461326001873e-02;-2.000934552641789196e+03;2.044868052293799110e+03;5.150483090181059670e+05;5.361454768368916120e+04
6.263744687880794986e-04;1.062500078895452964e-03;-5.794020775261017608e-02;2.990594750702242095e+02;-1.074005074125223018e+03;5.020137683058338007e+05;5.093387445056440629e+04
-2.739423157336122374e-03;-1.037746115309622942e-03;-5.220267371122817857e-02;1.676163294695285913e+03;6.820904636618508903e+02;5.027954228166536777e+05;5.109301974850109400e+04
-8.184436364571474800e-04;1.486855703982988691e-03;-3.448342274359259690e-02;1.336530794066516364e+03;-1.719251935520858069e+03;5.043712590527455905e+05;5.141408040314074606e+04
-6.973398398856641735e-03;-5.434663851306228803e-03;7.175844525664318296e-02;5.446890482240312849e+03;6.115722131905726201e+03;5.133102659007280599e+05;5.326522309644726920e+04
2.323063689257888823e-03;-1.240040973729436904e-03;-3.986090903157477050e-02;-1.198622750239183461e+03;1.912431123381393036e+03;5.034871075476402184e+05;5.123405742227178416e+04
3.045867490459905607e-03;-5.390307025342153937e-04;-9.839976109980243246e-02;-3.746361842235705353e+03;2.150559624999027619e+03;4.984409742854054784e+05;5.021499285584248719e+04
-8.157432274145541605e-04;-8.179004799147830294e-04;4.058034101652355230e-03;1.548687735836751017e+03;3.627755800344704085e+01;5.073868979598339065e+05;5.203024369579577615e+04
2.202649655146543452e-03;7.345219389304540264e-04;-2.147449519358639661e-02;-1.685790157551697348e+03;-3.940341099588064480e+03;5.051961202731397934e+05;5.158513635973828059e+04
6.117603559463413417e-04;-1.987217251625106491e-03;1.463396323628767155e-02;5.661378916326690387e+02;3.275266352598769117e+03;5.082779932919658022e+05;5.221490592287827894e+04
6.162436220771429869e-04;6.090693803748576480e-04;-7.014673690951905849e-02;1.589712463957503417e+02;-1.464315515906768269e+03;5.007427092710142606e+05;5.067646844260256330e+04
2.409784548670492171e-03;2.232019196110978602e-03;-2.676229032461422200e-02;-2.427363308824352771e+03;-3.557730793227573940e+03;5.049289442689134739e+05;5.153062914862636535e+04
9.742705822537098270e-04;-1.151766259682989553e-03;-2.566574012025729656e-02;-6.757277008988125999e+01;3.650767234523193110e+03;5.047753097969189403e+05;5.149822345677824342e+04
-2.084513493022759848e-03;3.341541587017784597e-03;-6.142901288822492922e-02;1.405289994553259930e+03;-4.030984303693857782e+03;5.020271097398279817e+05;5.094001355854728172e+04
-1.429700596258903691e-03;-2.435352236023699015e-04;-9.523085868557091410e-03;1.943539163074281305e+03;-2.253322788875503647e+03;5.064639088119296939e+05;5.184242545287100074e+04
1.527864722453893564e-04;1.142832265923029783e-03;9.157450523203658488e-03;-3.412080035907565048e+02;-3.416626115431559356e+03;5.081588038045061403e+05;5.219057133534280001e+04
-5.059079170998227260e-04;-7.397934805758406068e-04;4.847538472265287834e-02;-8.060349406689794023e+02;-1.274153893628832606e+02;5.115679350819406682e+05;5.289091136647037638e+04
-3.825256802913352960e-04;2.074631635765224712e-03;-2.370732534922276313e-02;5.397422242176094187e+02;-4.073919946296243324e+03;5.048646799262425629e+05;5.151717814220556465e+04
2.877841642181804601e-03;-3.398416336509931489e-03;1.553606820912510900e-01;-2.241139229623231586e+03;5.240189308693886233e+03;5.205782232794857118e+05;5.477688858925170643e+04
3.496149224081152116e-03;-6.387355566016387782e-04;9.265279901443306682e-03;-3.759904095103543114e+03;1.260660650152167818e+03;5.082801436991465162e+05;5.221629321546381834e+04
2.556483332673429188e-03;-5.369809794492519210e-03;-3.287541775900420897e-03;-9.348124757063641255e+02;6.951857521672122857e+03;5.068055342941511190e+05;5.192053958515213162e+04
4.817139830809953616e-03;-2.575730011303736192e-03;8.051556081402423681e-02;-4.226638400849675236e+03;2.853629212778957026e+03;5.141821647649660590e+05;5.343798227154493361e+04
-2.399612830248087480e-03;8.189434038974801678e-04;3.483067090536042659e-02;2.588793913231591432e+03;-1.613681233435133436e+03;5.100440460012013209e+05;5.257801844729840377e+04
-3.922650408019727995e-03;-5.337074906394507871e-03;6.869228694971500279e-03;2.988132055807454890e+03;8.510548281759300153e+03;5.079742351727864007e+05;5.216672766257024341e+04
6.846808727046251562e-03;3.778411288558791194e-03;-5.234170636262898933e-03;-5.943130662611414664e+03;-4.942778888921977341e+03;5.065135560803549597e+05;5.186287600291330455e+04
3.140390995218041940e-03;1.083093136258327354e-03;-1.910412805585623430e-02;-3.230203069425987906e+03;-2.275923753044476143e+03;5.053328599215175491e+05;5.161250624233804410e+04
3.945029053830635332e-03;1.065959297902884277e-04;9.327034657298653719e-02;-3.015031813150621929e+03;-5.548186282775277078e+01;5.154119334768964909e+05;5.369045944971676363e+04
-2.862951345493863851e-03;4.500346884421271257e-04;3.230554108283598125e-02;2.199405947554821523e+03;-4.326382466157679119e+02;5.102736854495087755e+05;5.262450703548156162e+04
-2.450137286065572073e-03;3.934662724255560349e-05;-1.821361107866106832e-02;2.420377485821313257e+03;1.127865649113083464e+03;5.054783725671164575e+05;5.164051817508630484e+04
4.250506551111828081e-04;9.697709757796108194e-05;-1.329920629375901803e-02;-3.613743874555250386e+02;-1.225966194082514221e+03;5.063394007477044361e+05;5.181548035873349727e+04
