# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
-1.953583711123876691e-04;-2.816563970925892537e-04;9.497688232204071213e-02;3.584335050089495667e+02;-1.073715909028414046e+02;5.151598502256316715e+05;5.363614553747436003e+04
3.462780619623063598e-05;-8.126862583146882884e-04;-6.096409211360003834e-03;5.690901777348765123e+00;-3.061930810950115074e+02;5.069172774173442740e+05;5.193350817577057751e+04
-7.293148737796293843e-04;5.803870866911583056e-05;-4.909629229183586768e-02;1.928407036098636809e+02;-8.972624649079233450e+01;5.029742059880937450e+05;5.112870818296200014e+04
-1.055185804922247278e-03;8.433991158246727357e-05;-9.259712354793423611e-03;2.754402371881924410e+02;1.581121380113155226e+02;5.066065497306648758e+05;5.186986124495335389e+04
1.555362211129931050e-03;-4.955334056133917650e-04;-1.322712634973826750e-03;-6.310066163041597065e+02;-5.271002461041175593e+02;5.068722878693927778e+05;5.192440792749273533e+04
-2.517084668977956526e-03;-2.348250382774817995e-04;-6.219505295493413244e-02;2.527453798516910979e+02;2.227592689605302212e+02;5.017980200952251325e+05;5.088987656749171583e+04
2.600437318618993750e-03;-7.172319335565915466e-04;-4.593385819831281164e-02;-4.112125313692680493e+02;1.936620069612652912e+02;5.031648818820375018e+05;5.116751359147656331e+04
-1.276486013553289204e-03;-1.663654688757100703e-03;1.566826566266014270e-02;2.444704353386596836e+02;1.121427749773104097e+02;5.083695468628700473e+05;5.223149903947196435e+04
-8.580578797434121937e-04;-1.094862535939310124e-03;-5.577737487723146564e-02;-2.074792363308398251e+02;-8.640366863260885566e+01;5.021666165680958657e+05;5.096465372919338552e+04
-3.552959016356577833e-04;-1.835857030276922121e-04;-2.329821747067681303e-02;2.193368067846214444e+02;5.879274647615047797e+02;5.049443013571116026e+05;5.153009416893548041e+04
-4.136599903992687591e-04;-7.438573940158168304e-04;-3.772015359966768289e-02;1.143060627163117289e+02;3.307548864052720887e+02;5.037940819441899657e+05;5.129554489526720863e+04
-1.801735028832917283e-04;2.258858316551341327e-04;-2.844276912843677479e-02;-3.481745454674987172e+02;3.123906256256950087e+02;5.048412382216126425e+05;5.150902558782595588e+04
-3.264213074228121121e-04;-1.978860559195389196e-04;-3.464495397307779806e-02;-3.912240325354949846e+02;4.730485336410333161e+02;5.041555566418055096e+05;5.136923228023426782e+04
6.649329609302972842e-06;-1.424215911254432532e-03;-8.053004361823848378e-02;-4.589425438153365917e+02;2.402042384412665967e+02;5.001371262295297929e+05;5.055358622177819780e+04
-1.115430644805912161e-03;4.034298733724544519e-04;-9.228519705573893714e-03;6.021847345866957539e+02;4.307886163940355573e+01;5.062055388419755618e+05;5.178783055184925615e+04
-5.428091754827276191e-05;1.255677332546191504e-03;-3.271970479068297966e-02;-2.218947787666319016e+01;-1.967246377632305325e+02;5.041822991854078718e+05;5.137461386171590129e+04
5.220846723534318520e-04;1.186855116525114108e-03;3.013170598902791854e-03;-1.744466627040201274e+02;1.032878923838728582e+02;5.076608851651661098e+05;5.208597396341639978e+04
-2.332479327087219275e-04;-9.394118442093162989e-04;6.447810091908293129e-02;1.780881550309672718e+02;1.349276058684451414e+02;5.130264204469625256e+05;5.319280106029142917e+04
2.882394619904723836e-04;1.134642632826468470e-03;-6.628318725535903289e-02;-4.747848124936465410e+02;6.373248952455409153e+02;5.015881790313592064e+05;5.084742810761535657e+04
8.505267261527649746e-04;1.423412278202641898e-03;3.060177875503656414e-02;-2.457048263771339975e+02;2.130816191158524759e+02;5.096677764985561371e+05;5.249861480421575834e+04
-1.077856065151593405e-03;-5.579619089921714027e-04;-1.017790909677145500e-01;-3.662116834981438274e+02;-2.223825474824954540e+01;4.980879254483853001e+05;5.014014413704594335e+04
-3.985986729542032210e-04;-1.659689837517233733e-03;6.100983344069167702e-02;6.809053376616951709e+02;6.653397990185100070e+02;5.124646658609904116e+05;5.307654764202905062e+04
-1.199776308906997258e-03;1.615469415174067887e-03;6.991813070636004879e-02;6.710138690314556698e+01;4.013610372716158281e+02;5.133943178817222943e+05;5.326914217658761481e+04
-2.181907848756209269e-03;-2.004041672626226715e-04;7.304493535537874560e-02;-6.573027604157731796e-01;3.721684877059087171e+02;5.137602558320720564e+05;5.334510223262517684e+04
9.181161302332040662e-04;-1.331641778243911316e-03;-7.069986655076647419e-02;-9.683036871207488616e+01;5.216612334018079764e+02;5.011018605092910584e+05;5.074880639932642953e+04
-6.423326794259725300e-04;1.596234379891754045e-04;-5.280078479717278950e-02;9.497291244569665025e+01;2.156422212403098229e+02;5.024277138558916049e+05;5.101766579036193434e+04
